id,user_query,correct_jurisdiction,verbatim_truth_expected_rule,is_trick_question,status,response_seconds,answer,retrieved_sources,retrieved_source_groups,automatic_warning_flags,suggested_retrieval_score,suggested_refusal_score,retrieval_hit_manual,generation_faithfulness_manual,citation_quality_manual,refusal_accuracy_manual,root_cause_category,notes
F‑11,How many hours can a long‑haul truck driver work before overtime?,Federal,Federally regulated transport; CLC overtime rules apply.,False,success,33.99,"A long-haul truck driver cannot work more than 8 hours in a day or 40 hours in a week without being paid overtime, which is one and a half times their regular wage for any hours worked over these limits.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\Federal\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx,Federal,,1,N/A,,,,N/A,,
F‑12,Does a postal worker get federal family violence leave?,Federal,"CLC: Up to 10 days, first 5 paid.",False,success,31.46,"Yes, every employee who is a victim of family violence or who is the parent of a child who is a victim of family violence is entitled to and shall be granted a leave of absence from employment of up to 10 days in every calendar year.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_COVID19_related_leave.docx | D:\AI_Project\data_corpus_final\Federal\Federal_14_Medical_Personal_Family_and_Other_Leaves.docx,BC Provincial | Federal,,1,N/A,,,,N/A,,
F‑13,Can a telecom worker at Bell request federal compassionate care leave?,Federal,CLC: Up to 28 weeks unpaid compassionate care leave.,False,success,29.2,"Yes, all eligible employees are entitled to up to 27 weeks of unpaid leave within a period of 52 weeks for caring for a gravely ill family member under the Canada Labour Code.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_compassionate_care_leave.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_COVID19_related_leave.docx,BC Provincial,expected_jurisdiction_not_in_sources,0,N/A,,,,N/A,,
F‑14,What rest period must an Air Canada pilot receive between shifts?,Federal,Aviation is federal; CLC + Transport Canada duty‑time rules apply.,False,success,39.16,"Generally, yes, under the provisions for continuous operation of VDTs in the BC Public Service, pilots who are required to operate VDTs continuously for three and one-half consecutive hours or longer but less than their full shift should be reassigned to alternate work duties for a 10-minute break. However, since this context is specific to the BC Public Service and not Air Canada pilots, we cannot provide an exact rest period for Air Canada pilots from the given information.

Source: BC Employment Standards Act",D:\AI_Project\data_corpus_final\BC_Union_Benefits\BC_Union_08_Occupational_Health_Safety_and_Mental_Health.docx | D:\AI_Project\data_corpus_final\Federal\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx,BC Provincial | Federal,,1,N/A,,,,N/A,,
F‑15,Does a bank employee qualify for federal personal leave?,Federal,"CLC: 5 days personal leave, first 3 paid after 3 months.",False,success,28.93,"Generally, no. The context provided does not specify personal leave entitlements under the Canada Labour Code. Personal leave is typically covered by provincial standards in BC and other provinces.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_COVID19_related_leave.docx,BC Provincial,expected_jurisdiction_not_in_sources,0,N/A,,,,N/A,,
BC‑01,What is the minimum wage for a retail cashier in Vancouver?,BC Provincial,"BC minimum wage applies (e.g., $17.40/hr in 2024).",False,success,25.44,"The minimum wage for a retail cashier in Vancouver is $18.25 per hour.

Source: BC Employment Standards Act, Section [not provided]",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_annual_adjustment_of_minimum_wage.docx | D:\AI_Project\data_corpus_final\Federal\Federal_12_Minimum_Wage_Young_Workers_Breaks_and_Equal_Wages.docx,BC Provincial | Federal,,1,N/A,,,,N/A,,
BC‑02,How many paid sick days does a restaurant server get in BC?,BC Provincial,BC ESA: 5 paid sick days after 90 days.,False,success,28.29,"A restaurant server in BC is entitled to 5 paid sick days per year under the BC Employment Standards Act.

Source: BC Employment Standards Act, Section [not explicitly stated]",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_paid_sick_leave.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_COVID19_related_leave.docx,BC Provincial,,1,N/A,,,,N/A,,
BC‑03,Does a Vancouver tech worker earn overtime after 8 hours?,BC Provincial,1.5× after 8 hrs/day; 2× after 12 hrs/day.,False,success,33.77,"Generally, yes. If an employee works over 8 hours in a day or over 40 hours in a week, they are entitled to receive overtime pay at one and a half times their regular wage.

Source: BC Employment Standards Act",D:\AI_Project\data_corpus_final\Federal\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_overtime_employees_under_averaging_agreement.docx,Federal | BC Provincial,,1,N/A,,,,N/A,,
BC‑04,How much vacation pay does a retail worker get after 1 year?,BC Provincial,4% vacation pay (2 weeks).,False,success,30.71,"An employee is entitled to two weeks' vacation after completion of their first year of employment, with the vacation pay calculated as 4% of total wages earned in the first year.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\Federal\Federal_13_Vacation_General_Holidays_and_Multi_Employer_Employment.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_vacation_pay.docx,Federal | BC Provincial,,1,N/A,,,,N/A,,
BC‑05,Can a Burnaby office worker refuse unsafe work?,BC Provincial,WorkSafeBC: Right to refuse unsafe work.,False,success,38.83,"Generally, yes, an employee may refuse to use or operate a machine or thing, to work in a place, or to perform an activity if they have reasonable cause to believe that it constitutes a danger to themselves or another employee. This right is outlined in section 128(1) of the BC Employment Standards Act.

Source: BC Employment Standards Act, Section [not provided]",D:\AI_Project\data_corpus_final\Federal\Federal_07_Occupational_Health_and_Safety_Duties.docx | D:\AI_Project\data_corpus_final\Federal\Federal_09_OHS_Committees_Representatives_and_Coal_Mining.docx,Federal,expected_jurisdiction_not_in_sources,0,N/A,,,,N/A,,
BC‑06,Is a part‑time barista entitled to statutory holiday pay?,BC Provincial,Must work 15 of previous 30 days.,False,success,24.69,"Generally, no.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_if_employee_is_required_to_work_on_statutory_holiday.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_entitlement_to_statutory_holiday.docx,BC Provincial,,1,N/A,,,,N/A,,
BC‑07,Does a Vancouver restaurant cook get a 30‑minute meal break?,BC Provincial,30‑minute unpaid break after 5 hours.,False,success,30.63,"Yes, an employee like Theresa is entitled to a continuous period of at least one-half hour during which she can eat, which is considered a meal break.

Source: BC Employment Standards Act, Section [not provided]",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_meal_breaks.docx,BC Provincial,,1,N/A,,,,N/A,,
BC‑08,Can a retail worker be scheduled for 12 hours straight?,BC Provincial,Allowed; overtime applies after 8 hours.,False,success,33.11,"No, an employer must ensure that each employee has at least 8 consecutive hours free from work between each shift worked. Any scheduling of 12 consecutive hours without additional pay would violate this requirement.

Source: BC Employment Standards Act, Section [not provided in retrieved context]",D:\AI_Project\data_corpus_final\Federal\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_hours_free_from_work.docx,Federal | BC Provincial,,1,N/A,,,,N/A,,
BC‑09,How much notice must an employer give before terminating a cashier?,BC Provincial,"1 week after 3 months; 2 weeks after 12 months, etc.",False,success,26.44,"Generally, no specific notice period is mandated by federal law for terminating a cashier. The Canada Labour Code does not specify such a requirement.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\Federal\Federal_15_Termination_Notice_Severance_and_Unjust_Dismissal.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_rules_about_notice.docx,Federal | BC Provincial,,1,N/A,,,,N/A,,
BC‑10,Does a Vancouver office assistant qualify for family responsibility leave?,BC Provincial,Up to 5 unpaid days per year.,False,success,33.41,"I cannot find a verified parameter for this specific jurisdiction layout within the official guides.

Source: BC Employment Standards Act, Section [not applicable]",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_COVID19_related_leave.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_paid_sick_leave.docx,BC Provincial,,1,N/A,,,,N/A,,
BC‑11,Does a restaurant worker earn double‑time on statutory holidays?,BC Provincial,"If worked, paid 1.5× plus average day’s pay if eligible.",False,success,32.83,"Generally, yes. Employees who work on statutory holidays are entitled to be paid at least time-and-a-half plus an average day's pay for any hours worked over 12 in a day.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_overtime_employees_under_averaging_agreement.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_getting_paid_for_work.docx,BC Provincial,,1,N/A,,,,N/A,,
BC‑12,Can a tech worker be forced to work split shifts?,BC Provincial,Allowed; must have minimum 8 hours between shifts.,False,success,35.64,"No, an employer is required by law to ensure that an employee working a split shift completes the shift within 12 hours of starting work.

Source: Canada Labour Code, Section [verified section number]",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_split_shifts.docx | D:\AI_Project\data_corpus_final\Federal\Federal_06_Labour_Relations_Prohibitions_Complaints_and_Enforcement.docx,BC Provincial | Federal,,1,N/A,,,,N/A,,
BC‑13,Does a cashier get paid for reporting to work but being sent home?,BC Provincial,Minimum 2 hours reporting pay.,False,success,32.2,"Generally, yes, if an employee is sent home due to circumstances such as stock delivery delays and they had started work, they are entitled to be paid for actual time worked.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_minimum_daily_hours.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_employers_required_to_pay_minimum_wage.docx,BC Provincial,,1,N/A,,,,N/A,,
BC‑14,Can a server be paid a lower wage because they earn tips?,BC Provincial,No tip‑differential wage in BC; full minimum wage applies.,False,success,30.59,"No, an employer cannot pay a server a lower wage based solely on the fact that the server earns tips. Source: Canada Labour Code.",D:\AI_Project\data_corpus_final\Federal\Federal_12_Minimum_Wage_Young_Workers_Breaks_and_Equal_Wages.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_employers_required_to_pay_minimum_wage.docx,Federal | BC Provincial,,1,N/A,,,,N/A,,
BC‑15,Does a part‑time retail worker earn vacation pay?,BC Provincial,Yes; 4% minimum regardless of hours.,False,success,23.9,"Generally, no.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\BC_Union_Benefits\BC_Union_13_Auxiliary_Part_Time_Seasonal_and_Project_Employees.docx,BC Provincial,,1,N/A,,,,N/A,,
T‑01,Can a Vancouver city bus driver use BC ESA to file a missing‑pay complaint?,Federal,Transit (Coast Mountain Bus Company) is federally regulated.,True,success,29.49,"No, the provided context does not include information about filing missing-pay complaints under the BC Employment Standards Act (ESA).

Source: BC Employment Standards Act",D:\AI_Project\data_corpus_final\Federal\Federal_02_Labour_Board_and_Basic_Freedoms.docx | D:\AI_Project\data_corpus_final\Federal\Federal_16_Wages_Expenses_Employee_Protections_and_Genetic_Testing.docx,Federal,required_refusal_not_triggered,1,0,,,,,,
T‑02,Can a WestJet pilot use BC ESA rules for overtime?,Federal,Aviation is federal; BC ESA does not apply.,True,success,32.1,"No, generally, a WestJet pilot employed by a federally regulated airline would be governed by the Canada Labour Code rather than the BC Employment Standards Act (ESA). The Canada Labour Code applies to all federally regulated workers, including pilots at airlines like WestJet.",D:\AI_Project\data_corpus_final\Federal\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_overtime_employees_under_averaging_agreement.docx,Federal | BC Provincial,required_refusal_not_triggered,1,0,,,,,,
T‑03,Can a Rogers employee in Burnaby claim BC sick‑leave rights?,Federal,Telecom is federal; BC ESA does not apply.,True,success,36.88,"Yes, Rogers employees in Burnaby can claim BC sick-leave rights under the BC Employment Standards Act. Employees are entitled to up to 5 days of paid sick leave per year if they need to stay home due to illness or injury. They must have worked with their employer for at least 90 days to be eligible.",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_paid_sick_leave.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_COVID19_related_leave.docx,BC Provincial,expected_jurisdiction_not_in_sources | required_refusal_not_triggered,0,0,,,,,,
T‑04,Can a Vancouver restaurant worker use the Canada Labour Code for vacation pay?,BC Provincial,Restaurants are provincial.,True,success,28.29,"I cannot find a verified parameter for this specific jurisdiction layout within the official guides.

Source: I cannot find a verified parameter for this specific jurisdiction layout within the official guides.",D:\AI_Project\data_corpus_final\Federal\Federal_13_Vacation_General_Holidays_and_Multi_Employer_Employment.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_vacation_pay.docx,Federal | BC Provincial,required_refusal_not_triggered,1,0,,,,,,
T‑05,Does a CN Rail worker qualify for BC overtime rules?,Federal,Interprovincial rail is federal.,True,success,29.37,"I cannot find a verified parameter for this specific jurisdiction layout within the official guides.

Source: I cannot find a verified parameter for this specific jurisdiction layout within the official guides.",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_overtime_employees_under_averaging_agreement.docx | D:\AI_Project\data_corpus_final\Federal\Federal_11_Hours_of_Work_Overtime_and_Flexible_Work.docx,BC Provincial | Federal,required_refusal_not_triggered,1,0,,,,,,
T‑06,Can a bank teller file a complaint with the BC Employment Standards Branch?,Federal,Banks are federally regulated.,True,success,32.38,"No, complaints regarding actions taken by an employer against employees in contravention of section 147 must be made to the Board of the alleged contravention and not to the BC Employment Standards Branch. The correct jurisdiction for such complaints is the Canada Labour Code.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_how_wages_are_paid.docx | D:\AI_Project\data_corpus_final\Federal\Federal_16_Wages_Expenses_Employee_Protections_and_Genetic_Testing.docx,BC Provincial | Federal,required_refusal_not_triggered,1,0,,,,,,
T‑07,Can a Vancouver tech worker use federal maternity leave rules?,BC Provincial,Tech companies are provincial unless federally regulated.,True,success,34.74,"Generally, no.

The retrieved context is specific to BC Provincial employment standards and does not cover federally regulated employers like banks or telecommunications companies. The policy interpretation provided in the context pertains to maternity leave under the BC Employment Standards Act rather than federal labor laws.

Source: BC Employment Standards Act",D:\AI_Project\data_corpus_final\Federal\Federal_14_Medical_Personal_Family_and_Other_Leaves.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_guide_maternity_leave.docx,Federal | BC Provincial,required_refusal_not_triggered,1,0,,,,,,
T‑08,Does a Burnaby office worker get 10 federal sick days?,BC Provincial,BC ESA applies; federal sick‑day rules do not.,True,success,32.29,"No, generally, a Burnaby office worker does not get 10 federal sick days. According to the retrieved context, B.C. workers are eligible for up to 5 paid sick days per year under the Employment Standards Act.

Source: BC Employment Standards Act",D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_COVID19_related_leave.docx,BC Provincial,required_refusal_not_triggered,1,0,,,,,,
T‑09,Can a restaurant server use federal holiday pay rules?,BC Provincial,Restaurants fall under BC ESA.,True,success,26.99,"I cannot find a verified parameter for this specific jurisdiction layout within the official guides.

Source: Canada Labour Code",D:\AI_Project\data_corpus_final\Federal\Federal_13_Vacation_General_Holidays_and_Multi_Employer_Employment.docx | D:\AI_Project\data_corpus_final\BC_Provincial\bc_employment_standards_entitlement_to_annual_vacation .docx,Federal | BC Provincial,required_refusal_not_triggered,1,0,,,,,,
T‑10,Can a Vancouver airport baggage handler use BC ESA?,Federal,Airport operations are federally regulated.,True,success,26.8,"Generally, yes, a Vancouver airport baggage handler can use the BC Employment Standards Act (ESA) to address issues related to wages, hours of work, and other employment standards applicable in British Columbia.

Source: BC Employment Standards Act",D:\AI_Project\data_corpus_final\Federal\Federal_02_Labour_Board_and_Basic_Freedoms.docx | D:\AI_Project\data_corpus_final\BC_Union_Benefits\BC_Union_02_Human_Rights_Harassment_and_Bullying.docx,Federal | BC Provincial,required_refusal_not_triggered,1,0,,,,,,
